Image Name,Description,Download Count,Stars Count,Tags,Last Updated,Official Status
amazon/amazon-ecs-sample,"A sample PHP app running under Amazon Linux 2, used as a demo application for Amazon ECS",100M+,34,"Languages & Frameworks, Integration & Delivery, Web Servers",Amazon Web Services,N/A,Not Official
rancher/klipper-lb,N/A,100M+,2,,Rancher by SUSE,N/A,Not Official
rancher/mirrored-coredns-coredns,N/A,100M+,0,,Rancher by SUSE,N/A,Not Official
amazon/aws-node-termination-handler,A Kubernetes DaemonSet to gracefully handle EC2 Spot Instance interruptions.,100M+,10,"Integration & Delivery, Monitoring & Observability, Networking",Amazon Web Services,N/A,Not Official
bitnami/redis-exporter,Bitnami container image for Redis Exporter,100M+,13,"Databases & Storage, Monitoring & Observability",VMware,N/A,Not Official
amazon/aws-alb-ingress-controller,AWS ALB Ingress Controller,100M+,6,"Integration & Delivery, Networking, Security",Amazon Web Services,N/A,Not Official
newrelic/php-daemon,New Relic’s PHP daemon gathers APM data from New Relic PHP agents and relays it back to New Relic.,100M+,7,,New Relic,N/A,Not Official
rancher/local-path-provisioner,N/A,100M+,2,,Rancher by SUSE,N/A,Not Official
docker/ucp-interlock-proxy,N/A,100M+,2,,"Docker, Inc.",N/A,Not Official
celery,"DEPRECATED; use ""python"" instead",1M+,318,,N/A,Updated 7 years ago,Official
hashicorp/consul-template,"Consul Template is a template renderer, notifier, and supervisor for HashiCorp Consul and Vault.",100M+,30,"Integration & Delivery, Networking, Security","HashiCorp, Inc.",N/A,Not Official
bitnami/metrics-server,Bitnami container image for Metrics Server,100M+,26,"Integration & Delivery, Monitoring & Observability",VMware,N/A,Not Official
rancher/rke-tools,N/A,100M+,12,,Rancher by SUSE,N/A,Not Official
spiped,Spiped is a utility for creating symmetrically encrypted and authenticated pipes between sockets.,1M+,65,Security,N/A,Updated 18 days ago,Official
hashicorp/tfc-agent,Terraform Cloud Agent,100M+,12,"Integration & Delivery, Networking, Security","HashiCorp, Inc.",N/A,Not Official
bitnami/etcd,Bitnami container image for Etcd,100M+,185,"Databases & Storage, Integration & Delivery",VMware,N/A,Not Official
hashicorp/vault,Official vault docker images,100M+,162,"API Management, Security","HashiCorp, Inc.",N/A,Not Official
datadog/synthetics-private-location-worker,Docker container for the Synthetics private location worker,100M+,13,,Datadog,N/A,Not Official
swipl,SWI-Prolog offers a comprehensive free Prolog environment.,1M+,69,Languages & Frameworks,N/A,Updated 4 days ago,Official
bitnami/ghost,Bitnami container image for Ghost,100M+,41,"Content Management System, Security, Web Servers",VMware,N/A,Not Official
mirantis/ucp-auth,N/A,100M+,0,,Mirantis Inc,N/A,Not Official
bitnami/memcached,Bitnami container image for Memcached,100M+,34,"Databases & Storage, Integration & Delivery, Monitoring & Observability",VMware,N/A,Not Official
thrift,DEPRECATED; lacking active maintainer,1M+,122,,N/A,Updated 3 years ago,Official
docker/ucp-agent-win,N/A,100M+,1,,"Docker, Inc.",N/A,Not Official
datadog/cluster-agent,Docker container for the new Datadog Cluster Agent,100M+,10,,Datadog,N/A,Not Official
fsharp,DEPRECATED; use https://hub.docker.com/_/microsoft-dotnet-sdk/,1M+,86,,N/A,Updated 3 years ago,Official
eggdrop,The official Docker image of Eggdrop- IRC's oldest actively-developed bot!,1M+,81,,N/A,Updated 2 months ago,Official
docker/whalesay,An image for use in the Docker demo tutorial,100M+,751,"Languages & Frameworks, Integration & Delivery","Docker, Inc.",N/A,Not Official
bitnami/elasticsearch,Bitnami container image for Elasticsearch,100M+,78,"Databases & Storage, Security, Web Analytics",VMware,N/A,Not Official
rapidoid,DEPRECATED; lacking active maintainer,1M+,27,,N/A,Updated 3 years ago,Official
emqx,"The most scalable open-source MQTT broker for IoT, IIoT, connected vehicles, and more.",1M+,90,Message Queues,N/A,Updated 13 days ago,Official
atlassian/pipelines-agent,N/A,100M+,4,,Atlassian,N/A,Not Official
rancher/nginx-ingress-controller,N/A,100M+,13,,Rancher by SUSE,N/A,Not Official
rancher/agent,N/A,100M+,87,"Integration & Delivery, Monitoring & Observability, Networking",Rancher by SUSE,N/A,Not Official
atlassian/pipelines-dvcstools,N/A,100M+,1,,Atlassian,N/A,Not Official
docker-dev,DEPRECATED; use https://github.com/moby/moby/blob/master/Dockerfile,1M+,105,,N/A,Updated 9 years ago,Official
bitnami/wordpress,Bitnami container image for WordPress,100M+,258,Content Management System,VMware,N/A,Not Official
rakudo-star,Rakudo is a compiler for the Raku programming language.,1M+,60,Languages & Frameworks,N/A,Updated 5 days ago,Official
express-gateway,"DEPRECATED; The Official Docker Image of Express Gateway, an API Gateway for APIs and Microservices",1M+,75,,N/A,Updated 2 years ago,Official
dart,Dart is a client-optimized language for fast apps on any platform.,1M+,153,Languages & Frameworks,N/A,Updated 17 days ago,Official
bitnami/oauth2-proxy,Bitnami container image for OAuth 2 Proxy,50M+,44,"Integration & Delivery, Networking, Security",VMware,N/A,Not Official
rancher/system-agent-installer-rke2,N/A,50M+,3,,Rancher by SUSE,N/A,Not Official
newrelic/infrastructure,Public image for New Relic Infrastructure Agent,50M+,26,,New Relic,N/A,Not Official
rancher/klipper-helm,N/A,50M+,2,,Rancher by SUSE,N/A,Not Official
onlyoffice/documentserver,Feature-rich web-based office suite with a vast range of collaborative capabilities,50M+,372,"API Management, Content Management System, Integration & Delivery",Ascensio System SIA,N/A,Not Official
opensearchproject/opensearch,The Official Docker Image of OpenSearch (https://opensearch.org/),50M+,143,"Databases & Storage, Machine Learning & AI, Monitoring & Observability",opensearchproject,N/A,Not Official
rancher/coredns-coredns,N/A,50M+,4,,Rancher by SUSE,N/A,Not Official
atlassian/pipelines-docker-daemon,docker-in-docker for Bitbucket Pipelines,50M+,5,"Integration & Delivery, Operating Systems, Security",Atlassian,N/A,Not Official
bitnami/node-exporter,Bitnami container image for Node Exporter,50M+,22,"Integration & Delivery, Monitoring & Observability, Security",VMware,N/A,Not Official
rancher/calico-node,N/A,50M+,3,,Rancher by SUSE,N/A,Not Official
rancher/mirrored-metrics-server,N/A,50M+,4,,Rancher by SUSE,N/A,Not Official
hashicorp/http-echo,http-echo is an in-memory web server that echos back the arguments given to it.,50M+,73,"Monitoring & Observability, Networking, Web Servers","HashiCorp, Inc.",N/A,Not Official
nginx/nginx-prometheus-exporter,NGINX Prometheus Exporter for NGINX and NGINX Plus,50M+,43,"Integration & Delivery, Monitoring & Observability, Web Servers",NGINX Inc.,N/A,Not Official
kaazing-gateway,DEPRECATED; lacking active maintainer,1M+,65,,N/A,Updated 3 years ago,Official
rancher/rancher-webhook,N/A,50M+,0,,Rancher by SUSE,N/A,Not Official
hashicorp/consul-enterprise,"Consul is a datacenter runtime that provides service discovery, configuration, and orchestration.",50M+,4,"Monitoring & Observability, Networking, Security","HashiCorp, Inc.",N/A,Not Official
bitnami/phpmyadmin,Bitnami container image for phpMyAdmin,50M+,48,"Databases & Storage, Developer Tools",VMware,N/A,Not Official
hashicorp/consul,Automatic build of consul based on the current release. See README for more information on usage.,50M+,75,,"HashiCorp, Inc.",N/A,Not Official
rancher/net,N/A,50M+,2,,Rancher by SUSE,N/A,Not Official
cimg/openjdk,The CircleCI OpenJDK (Java) Docker Convenience Image.,50M+,8,"Languages & Frameworks, Integration & Delivery, Security",CircleCI,N/A,Not Official
rancher/server,Rancher 1.x Server Container,50M+,609,"Integration & Delivery, Monitoring & Observability, Networking",Rancher by SUSE,N/A,Not Official
atlassian/pipelines-auth-proxy,A sidecar that acts as a git http(s) proxy to bitbucket.org,50M+,1,"Integration & Delivery, Security",Atlassian,N/A,Not Official
jetbrains/teamcity-server,TeamCity Server - Powerful Continuous Integration and Continuous Delivery out of the box,50M+,605,Integration & Delivery,JetBrains,N/A,Not Official
atlassian/confluence-server,"Official Confluence Server image – create, organise and discuss work with your team.",50M+,595,,Atlassian,N/A,Not Official
bitnami/mongodb-exporter,Bitnami container image for MongoDB Exporter,50M+,13,"Databases & Storage, Monitoring & Observability",VMware,N/A,Not Official
bitnami/apache,Bitnami container image for Apache,50M+,94,Web Servers,VMware,N/A,Not Official
bitnami/grafana,Bitnami container image for Grafana,50M+,37,"Data Science, Internet of Things, Monitoring & Observability",VMware,N/A,Not Official
silverpeas,Silverpeas is a turnkey and open-source Collaborative and Social-Networking Portal.,1M+,47,Content Management System,N/A,Updated 17 days ago,Official
bitnami/postgres-exporter,Bitnami container image for PostgreSQL Exporter,50M+,17,"Databases & Storage, Integration & Delivery, Monitoring & Observability",VMware,N/A,Not Official
newrelic/k8s-events-forwarder,N/A,50M+,2,,New Relic,N/A,Not Official
bitnami/cassandra,Bitnami container image for Cassandra,50M+,51,"Data Science, Databases & Storage, Internet of Things",VMware,N/A,Not Official
cimg/go,N/A,50M+,11,"Languages & Frameworks, Integration & Delivery, Security",CircleCI,N/A,Not Official
cimg/redis,N/A,50M+,2,"Databases & Storage, Integration & Delivery",CircleCI,N/A,Not Official
atlassian/default-image,The default build environment of Bitbucket Pipelines,50M+,82,,Atlassian,N/A,Not Official
rancher/fleet,Rancher Fleet Controller,50M+,0,"Integration & Delivery, Monitoring & Observability, Networking",Rancher by SUSE,N/A,Not Official
rancher/hyperkube,N/A,50M+,22,,Rancher by SUSE,N/A,Not Official
ubuntu-upstart,"DEPRECATED, as is Upstart (find other process supervisor!)",1M+,115,,N/A,Updated 9 years ago,Official
mattermost/mattermost-team-edition,The official Docker image for Mattermost Team Edition.,50M+,124,"Integration & Delivery, Security","Mattermost, Inc.",N/A,Not Official
camunda/camunda-bpm-platform,Docker images for the Camunda Platform 7 Community Edition.,50M+,137,"Integration & Delivery, Monitoring & Observability, Security",camunda services GmbH,N/A,Not Official
circleci/docker-gc,Agent to perform Docker image cache LRU garbage collection,50M+,6,,CircleCI,N/A,Not Official
rancher/calico-cni,N/A,50M+,2,,Rancher by SUSE,N/A,Not Official
docker/compose,Define and run multi-container applications with Docker https://docs.docker.com/compose/,50M+,196,,"Docker, Inc.",N/A,Not Official
bitnami/postgresql-repmgr,Bitnami container image for PostgreSQL HA,50M+,23,"Databases & Storage, Integration & Delivery",VMware,N/A,Not Official
rancher/mirrored-calico-node,N/A,50M+,0,,Rancher by SUSE,N/A,Not Official
hashicorp/vault-k8s,First-class integrations between Vault and Kubernetes.,50M+,19,"Integration & Delivery, Security","HashiCorp, Inc.",N/A,Not Official
circleci/openjdk,CircleCI images for OpenJDK,50M+,11,,CircleCI,N/A,Not Official
jetbrains/youtrack,Official Docker image for JetBrains YouTrack,50M+,262,"Content Management System, Integration & Delivery",JetBrains,N/A,Not Official
bitnami/fluentd,Bitnami container image for Fluentd,50M+,13,"Integration & Delivery, Monitoring & Observability, Security",VMware,N/A,Not Official
bitnami/kube-state-metrics,Bitnami container image for Kube State Metrics,50M+,20,Monitoring & Observability,VMware,N/A,Not Official
rancher/mirrored-prometheus-node-exporter,N/A,50M+,0,,Rancher by SUSE,N/A,Not Official
rancher/mirrored-library-busybox,N/A,50M+,0,,Rancher by SUSE,N/A,Not Official
rancher/rke2-runtime,N/A,50M+,4,,Rancher by SUSE,N/A,Not Official
rancher/gitjob,N/A,50M+,0,,Rancher by SUSE,N/A,Not Official
mageia,Official Mageia base image,1M+,44,Operating Systems,N/A,Updated 4 months ago,Official
bitnami/prometheus,Bitnami container image for Prometheus,50M+,234,"Integration & Delivery, Monitoring & Observability, Security",VMware,N/A,Not Official
airbyte/webapp,N/A,50M+,11,,Airbyte,N/A,Not Official
balena/armv7hf-supervisor,N/A,50M+,3,,balena,N/A,Not Official
docker/dockerfile-copy,(deprecated),50M+,0,,"Docker, Inc.",N/A,Not Official
amazon/aws-ebs-csi-driver,Amazon Elastic Block Store CSI Driver,50M+,6,,Amazon Web Services,N/A,Not Official
hola-mundo,¡Hola de DockerCon EU 2015 (Barcelona)!,1M+,11,,N/A,Updated 6 years ago,Official
circleci/golang,CircleCI images for Go,10M+,19,,CircleCI,N/A,Not Official
zabbix/zabbix-agent,Zabbix agent with TLS encryption support,10M+,231,Monitoring & Observability,Zabbix,N/A,Not Official
bitnami/dokuwiki,🛑 DEPRECATED Bitnami container image for Dokuwiki,10M+,172,Content Management System,VMware,N/A,Not Official
amazon/opendistro-for-elasticsearch,The Docker image for Open Distro,10M+,107,,Amazon Web Services,N/A,Not Official
circleci/mongo,CircleCI images for MongoDB,10M+,13,,CircleCI,N/A,Not Official
bitnami/minio,Bitnami container image for MinIO,10M+,151,"Data Science, Databases & Storage, Machine Learning & AI",VMware,N/A,Not Official
bitnami/nats,Bitnami container image for NATS,10M+,19,"Internet of Things, Message Queues, Security",VMware,N/A,Not Official
rancher/mirrored-istio-proxyv2,N/A,10M+,1,,Rancher by SUSE,N/A,Not Official
rancher/coreos-flannel,N/A,10M+,2,,Rancher by SUSE,N/A,Not Official
rancher/istio-proxyv2,N/A,10M+,0,,Rancher by SUSE,N/A,Not Official
grafana/loki-canary,N/A,10M+,4,,Grafana Labs,N/A,Not Official
known,DEPRECATED; lacking active maintainer,1M+,48,,N/A,Updated 5 years ago,Official
bitnami/nginx-ingress-controller,Bitnami container image for NGINX Ingress Controller,10M+,35,"Monitoring & Observability, Networking, Web Servers",VMware,N/A,Not Official
rancher/system-agent-installer-k3s,N/A,10M+,0,,Rancher by SUSE,N/A,Not Official
rancher/k3s,N/A,10M+,64,,Rancher by SUSE,N/A,Not Official
bitnami/alertmanager,Bitnami container image for Alertmanager,10M+,14,"Integration & Delivery, Monitoring & Observability, Security",VMware,N/A,Not Official
hashicorp/packer,Automatic build of packer from latest source. See README for more information.,10M+,115,Developer Tools,"HashiCorp, Inc.",N/A,Not Official
fluent/fluent-bit,"Fluent Bit, lightweight logs and metrics collector and forwarder",1B+,112,"Integration & Delivery, Internet of Things, Monitoring & Observability",Fluent organization: Fluentd project,N/A,Not Official
